state,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07
AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,37.0,46.0,42.0,39.0,42.0,36.0,32.0,14.0,10.0,16.0,14.0,19.0,25.0,10.0,12.0,12.0,13.0,8.0,12.0,16.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,10.0,13.0,9.0,16.0,16.0,19.0,15.0,10.0,10.0,10.0,12.0,14.0,10.0,14.0,14.0,14.0,10.0,10.0,11.0,13.0,8.0,7.0,7.0
AR,0.0,0.0,0.0,0.0,0.0,13.0,13.0,22.0,22.0,41.0,48.0,48.0,43.0,62.0,64.0,56.0,66.0,71.0,72.0,67.0,74.0,74.0,76.0,73.0,86.0,86.0,74.0,74.0,81.0,83.0,85.0,83.0,86.0,88.0,93.0,86.0,97.0,101.0,101.0,104.0,104.0,109.0,104.0,93.0,95.0,95.0,95.0,100.0,91.0,89.0,69.0,69.0,70.0,64.0,64.0,61.0,59.0,59.0,64.0,65.0,65.0,65.0,77.0,78.0,78.0,78.0,86.0,81.0,86.0,92.0,107.0,108.0,104.0,104.0,104.0,115.0,115.0,121.0,132.0,138.0,147.0,154.0,145.0
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,580.0,590.0,578.0,566.0,566.0,631.0,637.0,637.0,664.0,699.0,639.0,697.0,671.0,647.0,737.0,756.0,755.0,709.0,718.0,732.0,703.0,728.0,754.0,766.0,730.0,739.0,713.0,717.0,765.0,755.0,781.0,808.0,791.0,796.0,820.0,792.0,810.0,812.0,796.0,784.0,804.0,833.0,818.0,911.0,945.0,931.0,975.0,973.0,968.0,1009.0,1092.0,1079.0,1234.0,1278.0,1252.0
CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,1034.0,1034.0,1432.0,1617.0,1855.0,1922.0,2188.0,2300.0,2398.0,2509.0,2611.0,2714.0,2825.0,2897.0,5236.0,5234.0,3015.0,5163.0,5163.0,5031.0,4892.0,4936.0,4731.0,4674.0,4886.0,4984.0,4929.0,4880.0,4847.0,4928.0,4878.0,4983.0,5011.0,4981.0,4706.0,4722.0,4734.0,4616.0,4622.0,4681.0,4560.0,4514.0,4538.0,4555.0,4549.0,4544.0,4545.0,4655.0,4519.0,4424.0,4291.0,4391.0,4363.0,4681.0,4735.0,4762.0,4342.0,4300.0,4306.0,4404.0,4544.0,4529.0,4414.0,4215.0,4331.0,4258.0,4393.0,4458.0,4455.0,4625.0,4526.0,4525.0
CO,0.0,0.0,0.0,0.0,0.0,56.0,74.0,116.0,152.0,230.0,278.0,307.0,332.0,358.0,503.0,574.0,698.0,739.0,777.0,783.0,786.0,786.0,833.0,848.0,842.0,841.0,822.0,842.0,888.0,878.0,859.0,858.0,843.0,874.0,874.0,861.0,851.0,859.0,1084.0,1084.0,1046.0,1007.0,994.0,964.0,966.0,959.0,931.0,883.0,883.0,834.0,792.0,798.0,821.0,790.0,790.0,573.0,738.0,688.0,685.0,685.0,671.0,650.0,650.0,626.0,626.0,613.0,620.0,571.0,538.0,560.0,507.0,484.0,464.0,464.0,421.0,414.0,414.0,394.0,388.0,356.0,319.0,299.0,299.0
CT,0.0,0.0,0.0,0.0,0.0,43.0,54.0,71.0,113.0,125.0,173.0,173.0,404.0,517.0,608.0,766.0,827.0,909.0,1033.0,1142.0,1221.0,1308.0,1308.0,1464.0,1562.0,1593.0,1654.0,1760.0,1779.0,1908.0,1926.0,1946.0,1946.0,1938.0,1919.0,1949.0,1972.0,1947.0,1877.0,1810.0,1766.0,1758.0,1732.0,1691.0,1650.0,1592.0,1592.0,1551.0,1488.0,1500.0,1445.0,1385.0,1327.0,1301.0,1242.0,1212.0,1189.0,1158.0,1103.0,1033.0,994.0,937.0,920.0,914.0,887.0,816.0,740.0,724.0,701.0,706.0,694.0,694.0,648.0,577.0,533.0,481.0,454.0,434.0,406.0,373.0,350.0,333.0,333.0
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,295.0,313.0,313.0,313.0,313.0,313.0,402.0,402.0,402.0,402.0,402.0,402.0,402.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,416.0,416.0,423.0,397.0,393.0,382.0,369.0,374.0,375.0,336.0,336.0,342.0,324.0,324.0,331.0,353.0,349.0,343.0,338.0,317.0,295.0,302.0,295.0,285.0,276.0,273.0,276.0,285.0
DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,15.0,31.0,33.0,45.0,57.0,51.0,56.0,63.0,95.0,101.0,101.0,147.0,147.0,201.0,181.0,190.0,190.0,201.0,204.0,208.0,209.0,224.0,224.0,249.0,256.0,263.0,269.0,290.0,277.0,300.0,317.0,325.0,337.0,326.0,296.0,281.0,300.0,284.0,281.0,284.0,299.0,285.0,289.0,288.0,285.0,275.0,276.0,282.0,273.0,269.0,250.0,229.0,240.0,236.0,220.0,220.0,221.0,210.0,211.0,205.0,201.0,196.0,192.0,183.0,174.0,160.0,159.0,157.0,153.0,142.0,128.0,117.0,103.0
FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,1010.0,1025.0,986.0,959.0,959.0,889.0,848.0,848.0,892.0,854.0,907.0,903.0,889.0,850.0,853.0,841.0,828.0,815.0,807.0,790.0,788.0,783.0
GU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,11.0,13.0,15.0,15.0,19.0,19.0,19.0,19.0,19.0,20.0,21.0,21.0,21.0,21.0,14.0,14.0,14.0,13.0,12.0,13.0,9.0,9.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,32.0,46.0,51.0,51.0,61.0,63.0,74.0,80.0,85.0,91.0,99.0,104.0,122.0,122.0,125.0,118.0,129.0,142.0,163.0,171.0,175.0,183.0,193.0,198.0,214.0,214.0,272.0,282.0,278.0,293.0,286.0,300.0,304.0,323.0,335.0,345.0,353.0,378.0,389.0,407.0,414.0,417.0,407.0,402.0,413.0,394.0,385.0,388.0,405.0,387.0,387.0,376.0,382.0,383.0,381.0,376.0,362.0,362.0,363.0,377.0,379.0,393.0,383.0,376.0,368.0,341.0,339.0,327.0,314.0,310.0,299.0,299.0,269.0
IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0,3680.0,3680.0,3680.0,3680.0,3680.0,4283.0,4283.0,4423.0,4454.0,4340.0,4314.0,4599.0,4776.0,4665.0,4877.0,4828.0,4699.0,4595.0,4672.0,4738.0,5036.0,4953.0,4900.0,4717.0,4701.0,4493.0,4780.0,4832.0,4862.0,4750.0,4739.0,4293.0,4319.0,4626.0,4563.0,4473.0,4367.0,4306.0,4190.0,4120.0,4002.0,3914.0,4107.0,3928.0,3753.0,3667.0,3762.0,3788.0,3826.0,3649.0,3599.0,3336.0,3296.0,3215.0,3238.0,3173.0,3044.0,2911.0,2702.0,2550.0
IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.0,1446.0,1493.0,1518.0,1484.0,1466.0,1431.0,1456.0,1398.0,1449.0,1537.0,1558.0,1457.0,1379.0,1361.0,1328.0,1346.0,1283.0,1336.0,1381.0,1294.0,1274.0,1246.0,1244.0,1268.0,1288.0,1166.0,1203.0,1138.0,1112.0,1102.0,1088.0,1122.0,1131.0,1149.0,1149.0,1050.0,1041.0,961.0,1017.0,979.0,924.0,926.0,913.0
KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,271.0,271.0,289.0,299.0,305.0,412.0,477.0,360.0,274.0,274.0,263.0,286.0,301.0,302.0,303.0,301.0,308.0,313.0,320.0,325.0,330.0,334.0,334.0,329.0,333.0,347.0,351.0,356.0,369.0,394.0,394.0,383.0,379.0,377.0,385.0,381.0,381.0,381.0,447.0,443.0,474.0,475.0,477.0,484.0,484.0,484.0,489.0,512.0,494.0,499.0,480.0,457.0,481.0,488.0,518.0,505.0,495.0,495.0
LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,491.0,676.0,773.0,927.0,1127.0,1185.0,1355.0,1498.0,1639.0,1707.0,1726.0,1803.0,1981.0,1996.0,1983.0,2014.0,2054.0,2067.0,2084.0,2134.0,1977.0,1943.0,1914.0,1868.0,1761.0,1748.0,1794.0,1798.0,1747.0,1727.0,1697.0,1700.0,1701.0,1683.0,1666.0,1629.0,1601.0,1607.0,1545.0,1530.0,1502.0,1512.0,1465.0,1432.0,1359.0,1333.0,1324.0,1310.0,1320.0,1194.0,1193.0,1091.0,1028.0,1019.0,1031.0,1004.0,931.0,884.0,867.0,836.0,813.0,847.0,831.0,798.0,761.0,714.0,674.0,678.0,661.0,639.0,617.0,613.0,604.0,582.0,575.0
MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,1632.0,1667.0,1831.0,2119.0,2302.0,2435.0,2507.0,2514.0,3485.0,3616.0,3637.0,3726.0,3756.0,3728.0,3789.0,3872.0,3977.0,3890.0,3851.0,3847.0,3879.0,3879.0,3892.0,3875.0,3856.0,3803.0,3716.0,3601.0,3617.0,3539.0,3542.0,3564.0,3436.0,3349.0,3229.0,3128.0,3102.0,3127.0,3101.0,2859.0,2767.0,2692.0,2597.0,2597.0,2472.0,2518.0,2396.0,2323.0,2237.0,2169.0,2132.0,2108.0,2106.0,2112.0,1991.0,1904.0,1824.0,1824.0,1657.0,1684.0,1637.0,1533.0,1529.0,1442.0
MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1433.0,1432.0,1405.0,1425.0,1408.0,1463.0,1513.0,1528.0,1610.0,1711.0,1668.0,1657.0,1635.0,1649.0,1693.0,1707.0,1683.0,1674.0,1665.0,1640.0,1544.0,1563.0,1550.0,1538.0,1496.0,1500.0,1460.0,1447.0,1421.0,1410.0,1374.0,1329.0,1320.0,1290.0,1279.0,1315.0,1338.0,1334.0,1296.0,1239.0,1183.0,1174.0,1148.0,1109.0,1096.0,1076.0,1059.0,1003.0
